# Pathway,2827_Abundance,2828_Abundance,2830_Abundance,2831_Abundance,2832_Abundance,2833_Abundance,2834_Abundance,2836_Abundance,2837_Abundance,2839_Abundance,2840_Abundance,2841_Abundance,2842_Abundance,2845_Abundance,2846_Abundance,2847_Abundance,2850_Abundance,2853_Abundance,2854_Abundance,2855_Abundance,2857_Abundance,2858_Abundance,2859_Abundance,2862_Abundance,2866_Abundance,2867_Abundance,2870_Abundance,2871_Abundance,2872_Abundance
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing),0.000106257,0.000403256,0.00012783,0.000185037,0.000241958,0.000249341,0.000105694,0.000188626,0.000122479,0.000243471,0.000344895,0.000251322,0.000180283,0.00033533,0.000104134,0.000212071,6.23337e-05,0.000101554,8.21159e-05,0.000209799,9.61981e-05,6.83135e-05,0.000100167,0.000207605,0.000231461,0.00021912,4.56661e-05,0.000202795,0.00010461
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria),2.94048e-05,0.0,1.27993e-05,0.0,5.52329e-05,1.0343e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79112e-05,0.0,0.0,1.65376e-05,0.0,1.01005e-05,0.0,0.0,1.93132e-05,0.0,2.26386e-05,2.1277e-05,0.0,0.0,0.0
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I,1.08668e-05,0.0,0.0,0.0,4.3088e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38583e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli),0.0,1.88198e-05,2.75718e-05,0.0,2.30435e-05,0.0,2.11629e-05,0.0,0.0,0.0,0.0,0.0,2.58717e-05,1.78087e-05,0.0,3.62492e-05,0.0,0.0,0.0,1.85237e-06,0.0,0.0,0.0,0.0,0.0,1.71472e-05,0.0,0.0,0.0
PPGPPMET-PWY: ppGpp metabolism,0.0,0.0,7.48085e-06,0.0,7.78699e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PWY-1042: glycolysis IV,0.000185957,0.000151048,0.000195018,0.000268769,0.000353278,0.000308877,0.000160452,0.000310307,0.000202499,0.000424988,0.000324318,0.000302514,0.000232385,0.000416306,0.000123883,0.000121519,5.53375e-05,0.000144393,0.000107996,0.000147712,0.000200816,9.7276e-05,0.000152775,0.00022126,0.000284869,0.000184205,2.16716e-05,0.000299723,0.000184554
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis,9.64609e-05,7.41486e-06,1.89263e-05,0.0,2.92147e-05,1.3144e-05,4.93526e-06,2.56489e-05,0.0,3.38012e-05,0.0,0.0,0.0,6.94272e-05,6.53277e-05,0.0,0.0,3.25411e-05,0.0,0.0,0.0,3.75417e-05,1.3746e-05,2.53098e-05,2.15984e-05,0.0,0.0,0.0,3.56225e-05
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36232e-05,0.0,9.37787e-06,0.0,0.0,0.0,2.81409e-05,0.0,0.0,0.0,0.0
"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type",0.0,0.0,1.88166e-05,2.43306e-05,8.92275e-05,2.48728e-05,1.47928e-05,8.93982e-05,0.0,3.84424e-05,0.0,0.0,0.0,1.34915e-05,1.03027e-05,0.0,0.0,0.0,7.69055e-06,0.0,0.0,1.30289e-05,2.06193e-05,0.0,5.29795e-05,4.14956e-06,0.0,4.36881e-05,1.36747e-05
PWY-2941: L-lysine biosynthesis II,7.01497e-05,0.000360291,0.000110905,0.000151251,0.000155645,0.000169098,9.45349e-05,6.90375e-05,9.05579e-05,0.000101169,0.000296785,0.000215067,0.000150869,0.000214523,5.64387e-05,0.000199095,6.09497e-05,8.81043e-05,5.67327e-05,0.000151328,0.000125771,0.0,8.48744e-05,0.000184583,0.000169689,0.000196653,7.26672e-05,0.000205984,9.0166e-05
PWY-2942: L-lysine biosynthesis III,0.000108082,0.0,8.41897e-05,0.0,6.61541e-05,0.000163914,7.97706e-05,0.000137068,1.50876e-05,0.000156254,0.0,0.0,4.10245e-05,0.000192142,7.94881e-05,5.5535e-05,0.0,0.0,4.62967e-05,0.0,7.82795e-05,0.0,4.23291e-05,0.0,0.0,0.0,0.0,3.97802e-05,8.92909e-05
PWY-3001: superpathway of L-isoleucine biosynthesis I,4.26185e-05,7.133e-05,5.97487e-05,0.0,0.000169006,0.000134122,3.34273e-05,9.2476e-05,6.36112e-05,0.000125318,0.0,0.0,5.69764e-05,0.000147482,6.42105e-05,0.0,0.0,4.06856e-05,2.21018e-05,3.61314e-05,4.62274e-05,0.0,4.78291e-05,8.17322e-05,0.000101469,0.0,0.0,5.58478e-05,3.26903e-05
PWY-3841: folate transformations II (plants),0.000120807,0.000380556,0.000135362,0.000158443,0.000236262,0.00034308,0.000137948,0.000182535,8.17543e-05,0.000201454,0.000354855,0.000268852,0.000146272,0.000346477,0.000113356,0.000207354,5.42606e-05,0.000108614,8.28775e-05,0.000197968,0.000134882,6.9226e-05,8.13438e-05,0.00015432,0.0002471,0.000228796,7.74436e-05,0.00023278,0.000100504
PWY-4041: &gamma;-glutamyl cycle,9.29279e-06,0.0,0.0,0.0,1.4195e-05,0.0,0.0,0.0,0.0,5.93595e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.66976e-06,0.0,0.0,0.0,0.0,0.0,0.0
PWY-4984: urea cycle,0.0,0.0,0.0,0.0,0.0,1.90857e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PWY-5005: biotin biosynthesis II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.94942e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PWY-5097: L-lysine biosynthesis VI,9.6302e-05,0.000381132,0.000111448,0.000157385,0.000215608,0.000221617,0.000117623,0.000126099,0.000102531,0.000193488,0.000291758,0.000210629,0.000152915,0.000277091,8.42953e-05,0.000180679,5.60063e-05,9.251e-05,8.51893e-05,0.000155889,0.000124322,8.92278e-05,8.12268e-05,0.000183426,0.000207702,0.000192335,6.15513e-05,0.000202416,8.53203e-05
PWY-5100: pyruvate fermentation to acetate and lactate II,8.26692e-05,0.000112186,4.86244e-05,3.42704e-05,4.73479e-05,4.93746e-05,8.98453e-05,5.07382e-05,4.33531e-05,1.23244e-05,2.25146e-05,0.0,6.18489e-05,0.000110927,6.82176e-05,0.000120045,1.98103e-05,1.51055e-05,1.27574e-05,0.0,1.97731e-05,5.9446e-05,3.52907e-05,7.27356e-05,0.000114412,3.02532e-05,2.40892e-05,7.64572e-05,4.47372e-05
PWY-5103: L-isoleucine biosynthesis III,0.000101207,3.39438e-05,7.61081e-05,8.32775e-05,0.000170307,0.000204664,8.20116e-05,0.000192832,0.000110365,0.000211105,2.85668e-05,3.57269e-05,5.60947e-05,0.000256197,9.39298e-05,2.70971e-05,0.0,7.26835e-05,5.4531e-05,3.75985e-05,4.20249e-05,0.00012295,6.17674e-05,0.000102599,0.000117666,9.29961e-05,0.0,9.64959e-05,0.00010144
PWY-5104: L-isoleucine biosynthesis IV,0.0,0.0,0.0,0.0,9.45411e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),0.0,2.41071e-05,2.50387e-05,0.0,3.33415e-05,6.21484e-05,2.56059e-05,3.15115e-05,2.8283e-05,0.0,0.0,0.0,2.49925e-05,2.46145e-05,4.33703e-05,2.16326e-05,0.0,0.0,0.0,2.31108e-06,0.0,0.0,0.0,0.0,0.0,1.9104e-05,0.0,0.0,0.0
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome),0.0,0.0,0.0,9.7556e-06,8.98775e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)",0.0,0.0,0.0,0.0,2.88124e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline),3.78439e-05,0.0,1.2051e-05,0.0,4.71693e-05,2.45694e-05,3.10213e-05,7.07697e-05,0.0,5.51438e-05,0.0,0.0,2.77202e-05,6.60528e-05,5.05418e-05,0.0,0.0,0.0,3.91847e-05,0.0,0.0,2.13554e-05,0.0,0.0,0.0,2.07219e-05,0.0,0.0,0.0
PWY-5188: tetrapyrrole biosynthesis I (from glutamate),0.00013377,0.0,2.07659e-05,0.0,8.02061e-06,0.0,0.0,1.20846e-05,0.0,0.0,0.0,0.0,0.0,2.25847e-05,3.03691e-05,0.0,0.0,2.94966e-05,1.3692e-05,0.0,0.0,2.31491e-05,8.20199e-06,0.0,0.0,0.0,0.0,0.0,3.24226e-05
PWY-5189: tetrapyrrole biosynthesis II (from glycine),0.0,0.0,3.93042e-06,0.0,0.0,0.0,0.0,9.57148e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.93677e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.0353e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.81275e-05
PWY-5265: peptidoglycan biosynthesis II (staphylococci),0.0,0.0,0.0,0.0,0.0,0.0,2.55343e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation),0.0,0.0,0.0,0.0,3.33664e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33635e-06,0.0,0.0,0.0,0.0,0.0,0.0
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration),0.0,0.0,0.0,0.0,1.07315e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PWY-5384: sucrose degradation IV (sucrose phosphorylase),7.88699e-05,0.000443316,9.70075e-05,0.000197246,0.000140013,7.07385e-05,7.36874e-05,6.04006e-05,7.18496e-05,0.000107593,0.000366826,0.000208803,0.000170007,0.000136933,0.0,0.00024949,6.137e-05,3.84823e-05,3.99918e-05,0.000195948,7.88332e-05,0.0,8.12619e-05,0.000153173,0.000181156,0.000194188,7.27766e-05,0.000187888,4.21178e-05
PWY-5484: glycolysis II (from fructose 6-phosphate),0.000141242,4.6712e-05,6.64734e-05,9.78696e-05,0.000237759,0.00020227,9.95719e-05,0.000179323,0.000121681,0.000198321,0.000109682,5.1442e-05,0.000136173,0.000139812,9.73364e-05,0.0,0.0,8.73929e-05,6.40136e-05,5.22823e-05,1.2763e-05,6.28093e-05,8.1228e-05,7.37662e-05,0.00019402,8.73717e-05,0.0,0.000143728,8.625e-05
PWY-5505: L-glutamate and L-glutamine biosynthesis,0.0,0.0,0.0,0.0,3.20876e-06,2.71423e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3265e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PWY-5659: GDP-mannose biosynthesis,9.9417e-06,0.0,7.70336e-06,0.0,1.65097e-05,2.00952e-05,2.38905e-05,0.0,3.14319e-05,5.63357e-05,0.0,0.0,3.82678e-05,3.37227e-05,3.1061e-05,0.0,0.0,0.0,3.68291e-05,0.0,0.0,4.20931e-05,3.41371e-06,2.0956e-05,0.0,0.0,0.0,1.26774e-05,0.0
PWY-5667: CDP-diacylglycerol biosynthesis I,8.83635e-05,8.79585e-05,4.09996e-05,6.75436e-05,0.000119856,0.000168961,4.35096e-05,0.000117215,7.67511e-05,0.000138963,8.06819e-05,5.33947e-05,3.38208e-05,0.000185539,7.03517e-05,4.31844e-05,2.80176e-05,5.63589e-05,7.15395e-05,1.74621e-05,4.14974e-05,6.78011e-05,7.76729e-05,3.7649e-05,0.000111116,9.56961e-05,0.0,6.88142e-05,4.94443e-05
PWY-5675: nitrate reduction V (assimilatory),0.0,0.0,0.0,0.0,0.000134267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PWY-5676: acetyl-CoA fermentation to butanoate II,0.0,0.0,0.0,0.0,2.52316e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.41163e-06,9.6949e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PWY-5686: UMP biosynthesis I,0.000191163,0.000590153,0.000233811,0.000335387,0.000364408,0.000452841,0.000156245,0.000298014,0.00018717,0.000403828,0.000763304,0.000385059,0.000260893,0.000395078,0.000151821,0.00029599,9.62843e-05,0.000131042,0.000148684,0.000282129,0.000228015,7.87489e-05,0.000200556,0.00019576,0.000413379,0.000252535,9.2066e-05,0.000331895,0.000170321
PWY-5690: TCA cycle II (plants and fungi),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14258e-05,0.0,0.0,0.0,0.0,0.0,7.24438e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PWY-5695: inosine 5'-phosphate degradation,0.000165377,1.89673e-05,6.4162e-05,1.96356e-05,7.8052e-05,1.79529e-05,8.97084e-05,5.16205e-05,0.0,4.29805e-05,9.74904e-05,0.0,9.73247e-05,0.000129287,6.77565e-05,2.79837e-05,0.0,4.71525e-05,2.20372e-05,0.0,1.65984e-05,6.00567e-05,6.028e-05,6.60011e-05,9.77284e-05,1.20148e-05,0.0,5.24142e-05,0.000106741
PWY-5723: Rubisco shunt,0.0,0.0,9.98997e-06,0.0,2.20304e-05,0.0,1.85204e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.55175e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06519e-05
PWY-5910: superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),0.0,9.26397e-06,0.0,0.0,0.0,0.0,1.25679e-05,0.0,0.0,0.0,0.0,0.0,1.26157e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PWY-5913: partial TCA cycle (obligate autotrophs),0.0,0.0,3.0727e-05,4.37891e-05,1.45092e-05,3.49863e-05,3.56319e-05,3.80383e-05,1.04795e-05,7.58792e-05,0.0,0.0,0.0,5.09505e-05,1.18614e-05,0.0,0.0,0.0,0.0,0.0,8.86454e-06,3.00274e-06,0.0,0.0,5.69307e-05,0.0,0.0,7.82478e-06,0.0
PWY-5941: glycogen degradation II,4.65569e-05,8.8662e-05,4.20888e-05,0.00016884,0.000307804,0.000282552,0.000106578,0.000194232,0.000185545,0.000324417,5.39318e-05,4.14369e-05,0.000174924,0.000271439,0.00010845,0.000109234,3.40798e-05,9.35014e-05,0.000124562,4.52097e-05,6.58e-05,4.16273e-05,5.23131e-05,0.000142448,0.00023617,6.65404e-05,3.16381e-05,0.000224675,5.25729e-05
PWY-5973: cis-vaccenate biosynthesis,1.06618e-05,5.54082e-05,8.76484e-05,0.000148293,9.70976e-05,0.000153481,7.65877e-05,0.000122245,9.79768e-05,0.000181614,0.0,9.78197e-06,0.000190195,0.000213133,9.13925e-05,0.000100883,6.97066e-05,6.14718e-05,4.94347e-05,8.2219e-05,0.000107175,3.34795e-05,5.83637e-05,0.000102999,0.00014135,6.5259e-05,2.6778e-05,9.11636e-05,5.37296e-05
PWY-5981: CDP-diacylglycerol biosynthesis III,6.71718e-05,0.000298415,7.77214e-05,8.15974e-05,0.000103624,0.000130538,5.22398e-05,6.90612e-05,7.96374e-05,0.000128862,0.000191588,0.000153379,0.000126342,0.000150357,0.0,0.000174965,2.62623e-05,6.4307e-05,5.17695e-05,0.000127888,0.00011083,0.0,6.89389e-05,7.88366e-05,0.000119792,0.000142908,2.88834e-05,0.000182812,4.2303e-05
PWY-5989: stearate biosynthesis II (bacteria and plants),1.12303e-05,0.0,0.0,0.0,3.84333e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75226e-05,0.0,0.0,0.0,0.0,9.56554e-06,0.0,0.0,0.0,0.0,1.5008e-05,4.91845e-06,0.0,0.0,0.0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I,0.000109107,0.000559906,0.000214111,0.000368889,0.000375108,0.000379636,0.000117648,0.000223225,0.000226057,0.000300062,0.000634686,0.000362792,0.000192453,0.000372775,0.000128197,0.000357025,0.000118959,0.000121928,0.000157846,0.000300804,0.000231022,8.39205e-05,0.000191555,0.000261512,0.000325289,0.000380246,0.000102688,0.000346893,0.000195372
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II,9.50371e-05,0.000582425,0.000233594,0.000388851,0.000386008,0.000418262,0.000123168,0.000258269,0.000216714,0.000336999,0.000609565,0.000409546,0.000249802,0.000382415,0.00013068,0.000372528,0.000117567,0.000128207,0.000157623,0.000331397,0.000230934,8.7809e-05,0.000192847,0.000257659,0.000328175,0.000366572,0.000101426,0.000342236,0.000193332
PWY-6123: inosine-5'-phosphate biosynthesis I,0.000182058,0.000628772,0.000169361,0.000286935,0.000307159,0.000262825,0.00010307,0.00024108,0.00016113,0.00027928,0.000775519,0.000369762,0.000195541,0.000341679,0.000103581,0.000387146,0.000124304,0.000138231,0.000135973,0.000287264,0.000248472,8.25178e-05,0.000180725,0.000319304,0.000229096,0.000310641,9.70402e-05,0.000364506,0.000178131
PWY-6124: inosine-5'-phosphate biosynthesis II,0.000167258,0.000575559,0.000174307,0.000282441,0.000281447,0.000243578,9.56584e-05,0.000228013,0.000148747,0.000264289,0.000686693,0.000273558,0.000174005,0.000312771,9.57594e-05,0.000337522,8.71442e-05,0.000132833,0.000136125,0.000246119,0.000267091,8.38939e-05,0.000160264,0.000297555,0.000205248,0.000308113,9.28976e-05,0.00033689,0.000162461
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II,0.000133157,3.30033e-05,5.3588e-05,0.0,1.4188e-05,1.08887e-05,2.95912e-05,1.63746e-05,0.0,4.02279e-05,0.0,0.0,0.0,3.35519e-05,5.86609e-05,0.0,0.0,6.24971e-05,0.0,0.0,3.90785e-05,6.51831e-05,2.81919e-05,3.14244e-05,3.25731e-05,0.000100047,0.0,3.33226e-05,5.0513e-05
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II,0.000174047,4.7812e-05,7.05145e-05,0.0,2.10462e-05,1.61349e-05,4.21058e-05,2.31695e-05,0.0,5.78222e-05,0.0,0.0,0.0,4.90735e-05,7.31501e-05,0.0,0.0,8.33144e-05,0.0,0.0,5.61391e-05,9.23967e-05,3.56392e-05,4.351e-05,4.74544e-05,0.000129255,0.0,4.75973e-05,6.79684e-05
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,5.42487e-05,0.0,1.95754e-05,0.0,0.0,0.0,8.23987e-06,7.88665e-06,0.0,4.47931e-05,0.0,0.0,0.0,0.0,6.72066e-05,0.0,0.0,2.43181e-05,1.40592e-05,0.0,9.11312e-06,1.44587e-05,0.0,2.50682e-05,4.45931e-05,2.34134e-05,6.41679e-06,0.0,4.63989e-05
PWY-6151: S-adenosyl-L-methionine salvage I,0.0,0.000427824,0.000161331,0.000287438,0.000136556,0.000227144,0.000104608,0.000117629,0.000134477,0.00025436,0.000199372,0.000287095,0.000281026,0.000297758,0.000161157,0.000223675,7.9707e-05,0.000156311,0.000102922,0.000210822,0.000133186,6.68022e-05,4.01497e-05,8.68426e-05,0.000232118,0.0002207,8.5416e-05,0.000263574,9.51658e-05
PWY-6163: chorismate biosynthesis from 3-dehydroquinate,0.00014762,0.0,3.97853e-05,6.6778e-05,6.33132e-05,0.000163757,7.13732e-05,0.00013499,0.000104892,0.000167185,7.71827e-05,2.81547e-05,3.17858e-05,0.000207111,0.000123264,2.50648e-05,0.0,5.28064e-05,7.4346e-05,1.57361e-05,1.50779e-05,6.78518e-05,3.63306e-05,7.25833e-05,0.000103534,3.11699e-05,0.0,5.55806e-05,5.82029e-05
PWY-621: sucrose degradation III (sucrose invertase),0.0,0.0,0.0,0.0,0.0,7.02632e-06,0.0,2.93871e-05,1.82534e-05,7.02885e-06,0.0,0.0,2.51314e-05,4.10363e-05,0.0,0.0,0.0,0.0,9.94903e-06,0.0,8.20657e-06,0.0,1.59316e-05,0.0,0.0,0.0,0.0,6.54488e-05,0.0
PWY-6270: isoprene biosynthesis I,0.0,4.10594e-05,2.38068e-05,0.0,8.48347e-05,0.000153899,4.60988e-05,8.54041e-05,5.10827e-05,0.000107163,0.0,2.7838e-05,2.32907e-05,0.000132791,5.81587e-05,0.0,0.0,4.02334e-05,4.17738e-05,9.65143e-06,3.02279e-05,0.0,2.43802e-05,2.31939e-05,6.90221e-05,2.67163e-05,0.0,0.0,4.29318e-05
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis,9.50371e-05,0.000582425,0.000233594,0.000388851,0.000386008,0.000418262,0.000123168,0.000258269,0.000216714,0.000336999,0.000609565,0.000409546,0.000249802,0.000382415,0.00013068,0.000372528,0.000117567,0.000128207,0.000157623,0.000331397,0.000230934,8.7809e-05,0.000192847,0.000257659,0.000328175,0.000366572,0.000101426,0.000342236,0.000193332
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate),1.16e-05,0.0,0.0,0.0,6.21018e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2886e-05,0.0,0.0,0.0,0.0,2.69592e-05,0.0,0.0,0.0,0.0,3.56026e-05,1.83677e-05,0.0,0.0,0.0
PWY-6292: superpathway of L-cysteine biosynthesis (mammalian),0.0,2.98519e-05,6.91658e-06,0.0,3.58232e-05,6.65914e-05,3.27158e-05,2.43711e-05,2.26656e-05,6.82793e-05,0.0,0.0,6.06173e-05,7.61631e-05,2.25502e-05,0.0,0.0,2.07029e-05,0.0,7.35997e-06,6.68454e-06,1.05634e-05,2.91533e-05,0.0,1.52883e-05,0.0,0.0,1.36183e-05,0.0
PWY-6293: superpathway of L-cysteine biosynthesis (fungi),0.0,0.0,0.0,0.0,7.37162e-06,5.40774e-06,0.0,0.0,9.6118e-06,0.0,0.0,0.0,0.0,2.5924e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PWY-6305: superpathway of putrescine biosynthesis,1.54045e-05,0.0,7.22932e-06,1.12702e-05,2.63246e-05,1.22841e-05,7.10593e-06,6.94222e-06,1.76573e-05,1.98106e-05,0.0,0.0,1.55296e-05,2.17572e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5072e-06,9.3037e-06,2.28933e-05,1.39297e-05,0.0,0.0,0.0,0.0
PWY-6317: D-galactose degradation I (Leloir pathway),8.81617e-05,0.000333761,0.00010646,0.000156601,0.000199772,0.000194724,8.72879e-05,0.000143801,9.58895e-05,0.000204203,0.000310269,0.00023782,0.000170098,0.000248314,0.00010609,0.000256646,7.47726e-05,8.67525e-05,8.16855e-05,0.000144598,0.000112992,3.32882e-05,6.53083e-05,0.000190107,0.000211268,0.000164504,3.37196e-05,0.00019803,6.86523e-05
PWY-6353: purine nucleotides degradation II (aerobic),1.12444e-05,0.0,0.0,0.0,2.45627e-05,6.87945e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62524e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25578e-05,0.0,0.0,0.0,0.0
PWY-6385: peptidoglycan biosynthesis III (mycobacteria),0.000127146,0.000181297,9.20161e-05,0.000118194,0.000222974,0.000249341,9.53326e-05,0.000188626,0.000116115,0.000137875,6.28995e-05,6.80468e-05,0.000159629,0.000291711,9.59034e-05,0.000137178,1.75954e-05,7.61034e-05,6.87353e-05,0.0,7.71125e-05,6.3045e-05,6.64963e-05,0.000161353,0.000213158,0.000109013,3.89959e-05,7.72889e-05,0.000125281
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),0.000136161,0.000455024,0.00014742,0.00019535,0.000242245,0.000278203,0.000108079,0.000187623,0.00013903,0.000245015,0.00037769,0.000291734,0.000203253,0.000347927,0.000120281,0.000269474,6.91851e-05,0.000112358,0.000100652,0.000241683,0.000118019,7.02506e-05,0.000114032,0.000221906,0.00025544,0.000259745,5.56328e-05,0.000254102,0.000138439
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),0.000132181,0.000404091,0.000126301,0.000187831,0.000236826,0.000265447,9.98927e-05,0.000188516,0.000133718,0.000236609,0.000335526,0.00025147,0.000184578,0.000346009,0.00011227,0.000216736,5.8766e-05,0.000101302,9.54048e-05,0.000220891,0.00010624,6.82968e-05,9.93097e-05,0.000207732,0.000234449,0.000213532,4.46028e-05,0.000215959,0.000125874
PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance),0.0,0.0,2.63606e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation,0.0,0.0,0.0,0.0,4.38255e-05,2.48938e-05,0.0,1.14214e-05,1.73945e-05,0.000145998,0.0,0.0,0.0,2.14202e-05,1.58262e-05,0.0,0.0,0.0,1.6492e-05,1.13222e-05,1.9084e-05,2.25985e-05,0.0,1.78722e-05,0.0,0.0,0.0,4.77762e-05,0.0
PWY-6519: 8-amino-7-oxononanoate biosynthesis I,0.0,0.0,0.0,0.0,3.30542e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PWY-6527: stachyose degradation,9.79346e-05,0.000440765,0.000119549,0.000202338,0.000282465,0.000213335,8.803e-05,0.000102454,0.000100995,0.000158315,0.000393793,0.000307499,0.000240039,0.000292606,5.16078e-05,0.000323423,0.000106813,0.000124628,8.23466e-05,0.000212935,0.000102092,2.81675e-05,8.30843e-05,0.000171908,0.000264016,0.000223595,6.35478e-05,0.000253378,0.000105837
PWY-6531: mannitol cycle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.93988e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
